DEPTH,BV1,BV2,"""""VOCC_LAB[32]"[64]"[96]"[105]",CLOSURE,COLOR_PRT,G1,G2,MODE,"""""C_LAB[32]"[64]"[96]"[105]",PD1,PD2,PERMEABILITY,POROSITY,PRT,R35,ROCK_TYPE,SAMPLE
FEET,%,%,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,ALPHA*16,"","",MICRONS,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,MD,%,"",MICRONS,ALPHA*16,""
2,22.8763,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00973514,1.12907,3.56038,5.95262,7.96678,9.61188,10.9573,12.0687,12.9983,13.7851,14.4586,15.041,15.5492,15.9964,16.3927,16.7463,17.0636,17.3499,17.6096,17.846,18.0623,18.2608,18.4437,18.6127,18.7693,18.9149,19.0505,19.1772,19.2958,19.407,19.5116,19.61,19.7029,19.7906,19.8736,19.9523,20.027,20.098,20.1655,20.2298,20.2912,20.3497,20.4057,20.4593,20.5105,20.5597,20.6069,20.6521,20.6957,20.7375,20.7778,0.809662,YELLOW,0.24,-999.25,0.766087,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,211.968,-999.25,0.31,21.6,2,0.201551,Meso,2.0000
3,15.853,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100006,0.123272,0.982629,2.26125,3.54323,4.69191,5.68601,6.53903,7.27201,7.90516,8.45573,8.93785,9.3629,9.74007,10.0768,10.379,10.6517,10.8988,11.1239,11.3296,11.5184,11.6921,11.8526,12.0013,12.1394,12.268,12.388,12.5003,12.6056,12.7045,12.7976,12.8854,12.9683,13.0466,13.1209,13.1914,13.2583,13.3219,13.3825,13.4403,13.4955,13.5482,13.5985,13.6468,13.693,13.7373,13.7799,13.8208,13.8601,13.8979,0.288166,YELLOW,0.32,-999.25,0.604154,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,245.158,-999.25,0.1,14.7,2,0.152911,Meso,3.0000
4,22.7247,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,1.57041,5.73224,8.98623,11.2911,12.9637,14.2211,15.1969,15.9745,16.608,17.1337,17.5768,17.9551,18.2819,18.5669,18.8177,19.0401,19.2385,19.4168,19.5777,19.7238,19.8569,19.9787,20.0906,20.1937,20.2891,20.3776,20.4599,20.5366,20.6083,20.6755,20.7385,20.7978,20.8536,20.9063,20.9561,21.0033,21.048,21.0904,21.1308,21.1692,21.2058,21.2407,21.2741,21.306,21.3365,21.3657,21.3938,21.4207,21.4465,21.4713,0.499953,YELLOW,0.14,-999.25,0.807005,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,225.744,-999.25,1.06,21.16,2,0.397529,Meso,4.0000
5,24.2229,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.23934,1.92433,4.23205,6.40288,8.26451,9.82611,11.1354,12.2406,13.1819,13.9911,14.693,15.307,15.8481,16.3283,16.7572,17.1425,17.4903,17.8059,18.0934,18.3565,18.5981,18.8207,19.0264,19.2171,19.3944,19.5596,19.714,19.8585,19.994,20.1214,20.2414,20.3545,20.4615,20.5627,20.6586,20.7496,20.8361,20.9184,20.9968,21.0716,21.143,21.2113,21.2765,21.3391,21.399,21.4565,21.5117,21.5647,21.6157,21.6648,21.7121,21.7577,21.8016,21.844,0.589813,YELLOW,0.276128,-999.25,1.1044,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,141.052,-999.25,0.34,21.8,2,0.21014,Meso,5.0000
6,17.0212,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100076,0.0677982,0.620989,1.60416,2.71527,3.79392,4.78167,5.66538,6.44946,7.14415,7.76079,8.30999,8.80115,9.2423,9.64025,10.0007,10.3286,10.628,10.9022,11.1544,11.3869,11.602,11.8014,11.9869,12.1598,12.3214,12.4727,12.6146,12.748,12.8736,12.9921,13.104,13.21,13.3104,13.4057,13.4962,13.5823,13.6644,13.7426,13.8173,13.8887,13.9569,14.0223,14.085,14.1451,14.2027,14.2582,14.3115,14.3628,14.4122,14.4597,14.5056,14.5499,14.5927,14.634,14.6739,14.7125,0.326199,YELLOW,0.405703,-999.25,1.23115,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,109.013,-999.25,0.38,14.6,2,0.315444,Meso,6.0000
7,22.7669,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0631409,3.58574,7.61066,10.4502,12.4458,13.9027,15.0066,15.8695,16.5616,17.1285,17.6011,18.001,18.3438,18.6407,18.9004,19.1294,19.3329,19.5149,19.6786,19.8266,19.9612,20.0839,20.1964,20.2999,20.3953,20.4837,20.5657,20.6421,20.7133,20.7799,20.8423,20.901,20.9561,21.0081,21.0572,21.1037,21.1477,21.1894,21.229,21.2667,21.3026,21.3368,21.3694,21.4006,21.4305,21.459,21.4864,21.5126,21.5378,21.562,21.5853,21.6077,21.6292,21.65,21.67,21.6894,21.708,0.133243,YELLOW,0.132554,-999.25,1.67963,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,109.395,-999.25,2.3,22,2,0.583118,Meso,7.0000
8,19.7318,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.587999,3.58792,6.40435,8.52016,10.0984,11.3035,12.2481,13.0061,13.6268,14.1438,14.5809,14.9551,15.2789,15.5618,15.8111,16.0324,16.2301,16.4078,16.5684,16.7143,16.8473,16.9691,17.0811,17.1844,17.2799,17.3686,17.451,17.5279,17.5998,17.6672,17.7305,17.79,17.846,17.8989,17.949,17.9963,18.0413,18.0839,18.1245,18.1631,18.1999,18.2351,18.2686,18.3007,18.3314,18.3608,18.389,18.4161,18.4421,18.4671,18.4911,18.5143,18.5366,18.5581,0.067845,YELLOW,0.163066,-999.25,1.21967,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,145.455,-999.25,1.5,18.9,2,0.528292,Meso,8.0000
9,27.1713,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100001,1.59658,5.98032,9.67572,12.4121,14.4534,16.0169,17.2465,18.2363,19.049,19.7277,20.3026,20.7957,21.2231,21.5971,21.927,22.2202,22.4825,22.7185,22.9319,23.1258,23.3029,23.4651,23.6143,23.7519,23.8793,23.9976,24.1077,24.2104,24.3065,24.3965,24.4811,24.5606,24.6356,24.7064,24.7734,24.8368,24.897,24.9541,25.0085,25.0602,25.1096,25.1566,25.2016,25.2446,25.2858,25.3253,25.3631,25.3994,25.4343,25.4679,25.5002,25.5312,1.05188,YELLOW,0.16,-999.25,0.99857,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,178.289,-999.25,2.04,25.75,2,0.477166,Meso,9.0000
10,31.652,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0683553,2.75581,6.90376,10.4682,13.2751,15.4788,17.2345,18.6584,19.8329,20.8165,21.6514,22.3683,22.9903,23.5349,24.0156,24.4428,24.8251,25.1691,25.4802,25.7629,26.021,26.2574,26.4749,26.6756,26.8613,27.0337,27.1941,27.3438,27.4838,27.615,27.7382,27.8541,27.9634,28.0665,28.1641,28.2565,28.3441,28.4273,28.5065,28.5819,28.6537,28.7222,28.7877,28.8504,28.9103,28.9678,29.0229,29.0757,29.1265,29.1754,29.2223,29.2676,29.3112,29.3532,29.3937,29.4328,29.4706,29.5072,29.5425,29.5767,0.218776,CYAN,0.199351,-999.25,2.23588,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,76.103,-999.25,6,29.4,1,0.760315,Macro,10.0000
11,23.2892,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00965463,0.985046,3.2219,5.52413,7.51821,9.17786,10.5533,11.7009,12.6679,13.4914,14.1999,14.8149,15.3535,15.8288,16.2511,16.6287,16.9682,17.2751,17.5537,17.8079,18.0407,18.2546,18.4518,18.6343,18.8035,18.9609,19.1077,19.2449,19.3734,19.494,19.6074,19.7143,19.8151,19.9104,20.0007,20.0863,20.1675,20.2447,20.3182,20.3883,20.4551,20.5189,20.5799,20.6383,20.6942,20.7479,20.7993,20.8487,20.8962,20.9419,20.9859,21.0282,21.0691,21.1084,21.1465,21.1832,21.2186,21.2529,21.2861,21.3182,0.228006,CYAN,0.26,-999.25,2.08775,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,76.012,-999.25,3.59,21.4,1,0.758863,Macro,11.0000
