DEPT [FEET],PHIT [V/V],PERM [MD],G1 [],G2 [],PD1 [PSI],PD2 [PSI],BV1 [%],BV2 [%]
8456.0,0.035584692,0.48995924,1.3349189,0.1,814.79144,650.0,11.692881,0.0
8456.5,0.03556755,0.8097266,0.9919853,0.1,556.85333,650.0,9.810164,0.0
8457.0,0.031963065,0.27999616,2.6823606,0.1,1600.9089,650.0,18.644997,0.0
8457.5,0.031963065,0.010000761,2.7638462,0.1,273.02002,650.0,13.179401,0.0
8458.0,0.031963065,0.010000591,2.7638128,0.1,273.02118,650.0,13.179274,0.0
8458.5,0.032610632,0.08254559,2.9285085,0.1,656.1543,650.0,15.968176,0.0
8459.0,0.022085987,0.04154917,3.4988306,0.1,450.4987,650.0,17.089668,0.0
8459.5,0.022085987,0.041398067,3.5020123,0.1,449.50153,650.0,17.096687,0.0
8460.0,0.022085987,0.03951981,3.5420265,0.1,436.90402,650.0,17.184387,0.0
8460.5,0.022085987,0.039635833,3.5395334,0.1,437.69305,650.0,17.17896,0.0
8461.0,0.022123408,0.033250034,3.677954,0.1,392.00516,650.0,17.466589,0.0
8461.5,0.022085987,0.041261584,3.5048914,0.1,448.59875,650.0,17.103033,0.0
8462.0,0.008706428,0.05770276,2.9668813,0.1,557.1964,650.0,15.56069,0.0
8462.5,0.0061834804,7.45264,1.8438779,0.1,1738.0677,650.0,16.752842,0.0
8463.0,0.0061834804,12.560694,1.8401577,0.1,2060.0369,650.0,16.791853,0.0
8463.5,0.0061834804,15.876983,1.7232107,0.1,2205.2827,650.0,16.983212,0.0
8464.0,0.0061834804,9.475004,1.844397,0.1,1880.7231,650.0,16.785143,0.0
8464.5,0.00935322,2.996371,1.091069,0.1,1596.601,650.0,9.815305,0.0
8465.0,0.0026801974,1.0786263,1.0817702,0.1,617.0564,650.0,9.747061,0.0
8465.5,0.0026801974,0.5697132,1.144255,0.1,705.2294,650.0,10.810064,0.0
8466.0,0.008706428,0.3294779,2.3186078,0.1,796.1496,650.0,14.938935,0.0
8466.5,0.0061834804,0.08982479,2.7876327,0.1,643.4078,650.0,15.311743,0.0
8467.0,0.0061834804,86.93904,1.6813492,0.1,2496.8062,650.0,16.804981,0.0
8467.5,0.005264817,218.6027,2.0213623,0.1,2250.5627,650.0,19.398355,0.0
8468.0,0.0021546548,241.9856,2.0336528,0.1,2202.951,650.0,19.491003,0.0
8468.5,0.0021546548,166.96793,1.7035742,0.1,2281.414,650.0,17.007072,0.0
8469.0,0.0017573045,90.11307,1.6939423,0.1,2397.536,650.0,16.89935,0.0
8469.5,0.0026801974,12.472889,1.8438028,0.1,2015.4972,650.0,16.81003,0.0
8470.0,0.0017573045,0.17977567,2.5822244,0.1,733.52203,650.0,14.98562,0.0
8470.5,0.0021546548,0.23867588,2.456894,0.1,740.19257,650.0,15.254767,0.0
8471.0,0.001975787,0.17004554,2.5953064,0.1,728.3374,650.0,15.0080805,0.0
8471.5,0.001975787,0.100060865,2.733812,0.1,650.71405,650.0,15.150214,0.0
8472.0,0.001975787,1.6763377,1.0132957,0.1,564.3047,650.0,9.31753,0.0
8472.5,0.0017573045,2.7863102,1.1265831,0.1,1641.4047,650.0,10.024161,0.0
8473.0,0.0017573045,1.4983163,1.0293642,0.1,576.9075,650.0,9.419428,0.0
8473.5,0.0029283627,0.22003,2.4851058,0.1,743.16174,650.0,15.361294,0.0
8474.0,0.011042808,0.17995186,2.5730884,0.1,810.2812,650.0,15.265552,0.0
8474.5,0.039317936,0.32996315,1.5062457,0.1,963.6593,650.0,12.687641,0.0
8475.0,0.058238693,0.24032156,0.5910098,0.1,697.97314,650.0,8.568196,0.0
8475.5,0.07181224,0.18006256,0.77147955,0.1,653.8994,650.0,9.707956,0.0
8476.0,0.088625394,0.29005212,0.47063696,0.1,320.28433,650.0,9.137248,0.0
8476.5,0.09656737,3.1295505,0.5127486,0.1,57.666656,650.0,13.052151,0.0
8477.0,0.07642096,11.238821,1.9084908,0.1,19.804287,650.0,20.080206,0.0
8477.5,0.0580815,11.07866,1.8315319,0.1,765.0732,650.0,16.630917,0.0
8478.0,0.019289002,6.678628,1.848341,0.1,1617.2764,650.0,16.760885,0.0
8478.5,0.0034120488,2.2682009,1.1445423,0.1,1571.4285,650.0,10.102529,0.0
8479.0,0.0026801974,0.060877305,2.873656,0.1,568.55444,650.0,15.263098,0.0
8479.5,0.0021546548,0.9779705,1.0982007,0.1,629.8627,650.0,9.847552,0.0
8480.0,0.001975787,3.204862,1.1127875,0.1,1683.1273,650.0,9.960996,0.0
8480.5,0.001975787,6.252741,1.8424898,0.1,1649.2399,650.0,16.723438,0.0
8481.0,0.001975787,4.6874976,1.085479,0.1,1824.0615,650.0,9.856511,0.0
8481.5,0.0013297217,0.82826465,1.1254957,0.1,651.1515,650.0,10.013974,0.0
8482.0,-0.00274947,15.613547,1.8476992,0.1,2060.3762,650.0,16.849741,0.0
8482.5,-0.0035524652,33.924927,1.7135091,0.1,2278.7986,650.0,16.985308,0.0
8483.0,0.0038927763,13.632666,1.8409399,0.1,2081.4878,650.0,16.80318,0.0
8483.5,0.022123408,0.30984116,2.356036,0.1,1053.1515,650.0,15.835443,0.0
